GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG31678	687	683	XhXs	sp|P51767|BPJ_BPP2 Baseplate protein J
VOG31684	2	2	XhXs	sp|Q8AZM0|POLS_BSNV Structural polyprotein
VOG31709	2	2	Xh	sp|P17637|VP12_BPPRD Single-stranded DNA-binding protein
VOG31718	26	26	Xs	sp|Q64FN9|CAPSD_WCCVB Capsid protein
VOG31761	2	2	XhXrXs	sp|P14077|GAG_HTL1M Gag polyprotein
VOG31828	6	6	Xh	sp|Q08539|HE65_NPVAC Protein Early 65 kDa
VOG31852	9	9	Xs	sp|Q5UNX9|YR721_MIMIV Uncharacterized protein R721
VOG31861	20	18	XhXrXs	sp|Q9WAB1|CAPSD_REOVJ Inner capsid protein lambda-1
VOG31867	39	28	XhXp	sp|A0A7H0DNG0|PG200_MONPV Protein OPG200
VOG31956	17	17	XhXpXrXs	sp|P33515|POLG_MCFA Genome polyprotein
VOG31968	9	9	Xh	sp|Q5UQB9|YL222_MIMIV Putative SET domain-containing protein L222
VOG31983	8	5	XhXr	sp|P0DJZ9|RPOTF_PRRSL Replicase polyprotein 1TF
VOG31987	2	2	Xh	sp|A0A1Y9G8H0|PERO_ANOAL Salivary peroxidase/catechol oxidase
VOG32026	33	32	Xs	sp|P14268|CAP9_ADECT Hexon-interlacing protein
VOG32037	2	2	Xs	sp|F5HI32|IR10_HCMVM Protein IRL10
VOG32066	12	12	XrXs	sp|P32503|GAG_SCVLA Major capsid protein
VOG32070	7	2	XhXpXrXs	sp|C0MHL9|POLG_SAFV Genome polyprotein
VOG32116	6	6	Xh	sp|P06154|REGN_BPPH8 Probable regulatory protein N
VOG32120	4	4	XhXp	sp|P03208|BILF1_EBVB9 G-protein coupled receptor BILF1
VOG32127	14	14	XhXs	sp|P0C0V9|HEMA_BRV1 Hemagglutinin-esterase
VOG32210	6	6	XpXr	sp|Q06392|VSR_SBWMN Suppressor of RNA silencing
VOG32248	13	13	Xs	sp|P18056|HOC_BPT4 Highly immunogenic outer capsid protein
VOG32289	14	14	XhXp	sp|P24582|MTN3_NEILA Type II methyltransferase M.NlaIII
VOG32314	4	4	Xh	sp|Q6QGD4|ENDON_BPT5 Nicking endonuclease
VOG32331	3	3	Xs	sp|Q3V4V6|Y187_ATV Structural protein ORF187
VOG32340	93	93	Xs	sp|A0A068Q6B2|ANCHR_BPKNT Anchor protein
VOG32355	149	149	XhXpXrXs	sp|P13529|POLG_PPVD Genome polyprotein
VOG32367	20	20	Xs	sp|A0A6M3VXD3|CAPSD_SSRV1 Major capsid protein
VOG32392	244	241	XpXrXs	sp|Q02109|TGB1_POPMV Movement and silencing protein TGBp1
VOG32413	4	4	Xp	sp|A0A0S0N8M3|FADL_BPPAM Flavin-dependent lyase
VOG32449	14	14	XhXpXrXs	sp|P19199|POL_COYMV Polyprotein P3
VOG32455	39	39	Xh	sp|A8Z640|CH60_KARMG Chaperonin GroEL
VOG32456	6	6	XhXp	sp|A4GCJ2|NS1_I36A0 Non-structural protein 1
VOG32463	5	5	Xh	sp|Q17778|NUC1_CAEEL Deoxyribonuclease-2
VOG32481	9	9	Xs	sp|Q5UQ56|YR710_MIMIV Uncharacterized protein R710
VOG32488	9	9	Xp	sp|Q6RJQ3|UL141_HCMVM Protein UL141
VOG32502	6	6	Xh	sp|O58374|Y640_PYRHO Putative phosphate permease PH0640
VOG32511	13	13	Xs	sp|Q5UQD0|YR459_MIMIV Uncharacterized protein R459
VOG32596	16	16	Xh	sp|Q9T1W8|GP26_BPMU Uncharacterized protein gp26
VOG32680	4	4	XpXs	sp|P06444|GAG_AVIMD Gag polyprotein
VOG32701	2	2	Xh	sp|Q00094|KR73_ICHVA Protein kinase ORF73
VOG32713	4	4	Xs	sp|P25247|POL2_TORVR RNA2 polyprotein
VOG32733	28	28	Xh	sp|Q0Z972|IL10_CALJA Interleukin-10
VOG32739	3	3	Xr	sp|P0C5W3|INSC_ECOLX Transposase InsC for insertion element IS2A/D/F/H/I/K
VOG32785	15	15	Xs	sp|P0C794|MATRX_BDV1 Matrix protein
VOG32817	187	187	Xp	sp|P04546|ALC_BPT4 Protein alc
VOG32837	2	2	Xh	sp|P0CAG3|VF407_ASFK5 Uncharacterized protein B407L
VOG32877	6	3	XhXp	sp|P13285|LMP2_EBVB9 Latent membrane protein 2
VOG32892	17	17	Xh	sp|A3EX99|VEMP_BCHK4 Envelope small membrane protein
VOG32946	16	16	XhXr	sp|Q5UQD7|SUI1_MIMIV Protein translation factor SUI1 homolog
VOG32998	2	2	Xh	sp|F5HC33|US09_HCMVM Membrane glycoprotein US9
VOG33026	2	2	XhXpXrXs	sp|Q6QGE7|TMP_BPT5 Tape measure protein pb2 precursor
VOG33131	8	8	XhXpXrXs	sp|B3F2X7|VP3_ROTTU Protein VP3
VOG33148	13	13	XhXrXs	sp|A7L9Z4|RDRP_IBDVB RNA-directed RNA polymerase
VOG33154	376	375	Xs	sp|Q9ZXI1|SCAF_BPAR1 Capsid assembly scaffolding protein
VOG33202	37	37	XhXp	sp|P15135|E3145_ADE07 Early E3 15.3 kDa protein
VOG33222	58	58	Xs	sp|C0HJH8|CAPSD_BPKP2 Major capsid protein
VOG33249	35	34	XhXpXrXs	sp|Q69422|POLG_GBVB Genome polyprotein
VOG33292	4	4	XhXp	sp|P0DOE8|NS1_HRSS2 Non-structural protein 1
VOG33297	3	3	Xs	sp|P27390|VP34_BPPRD Protein P34
VOG33306	8	8	XhXs	sp|Q98473|P13_PBCV1 Minor capsid protein P13
VOG33313	24	24	XhXpXrXs	sp|O64326|TTTP_BPN15 Tail tube terminator protein
VOG33419	43	42	Xh	sp|P11319|E312_ADE03 Probable early E3 12.1 kDa glycoprotein
VOG33468	6	6	XhXpXs	sp|Q71TF8|DARB_BPP1 Defense against restriction protein B
VOG33473	5	5	XhXr	sp|Q27YG9|POLR_NORAV Replication polyprotein
VOG33511	29	29	XhXs	sp|F5HID2|PAP_HHV8P DNA polymerase processivity factor
VOG33539	206	206	XhXs	sp|P13336|GP28_BPT4 Baseplate hub assembly protein gp28
VOG33558	13	13	Xh	sp|F5HET1|UL78_HCMVM Protein UL78
VOG33569	17	16	Xs	sp|P28967|GG_EHV1B Envelope glycoprotein G
VOG33597	8	8	XhXpXs	sp|Q9J7Z0|CAPSD_PAV Capsid protein alpha
VOG33615	392	391	XhXpXrXs	sp|P17766|POLG_PPVNA Genome polyprotein
VOG33618	292	292	XhXr	sp|Q973F3|KPRS_SULTO Ribose-phosphate pyrophosphokinase
VOG33626	7	7	Xh	sp|Q9EMI7|NMT_AMEPV Putative glycylpeptide N-tetradecanoyltransferase
VOG33633	33	33	XhXrXs	sp|P07242|PG110_VACCW Late transcription elongation factor OPG110
VOG33651	96	95	XhXpXs	sp|P35988|CAP6_ADE12 Pre-protein VI
VOG33704	15	15	Xs	sp|A0A7H0DNA2|PG130_MONPV 39kDa core protein OPG130
VOG33713	2	2	XhXpXs	sp|P03383|ENV_HTLV2 Envelope glycoprotein gp63
VOG33730	61	54	Xh	sp|Q52357|TERD_SERMA Tellurium resistance protein TerD
VOG33765	7	7	Xh	sp|Q6QGD4|ENDON_BPT5 Nicking endonuclease
VOG33770	7	7	Xs	sp|Q5UQF8|YL488_MIMIV Uncharacterized protein L488
VOG33783	5	5	Xr	sp|Q6UDI9|PAP_PSHV1 DNA polymerase processivity factor
VOG33804	3	3	XhXr	sp|Q8V736|POLG_CACV4 Genome polyprotein
VOG33808	4	4	XhXr	sp|A6ZM04|PIF1_YEAS7 ATP-dependent DNA helicase PIF1
VOG33880	4	4	Xh	sp|Q8VQ46|WBGN_ECOLX Alpha-1,2-colitosyltransferase
VOG33893	9	9	Xs	sp|P36288|VP2_SMSV1 Minor capsid protein VP2
VOG33924	124	124	XhXr	sp|B7SSM2|DPOL_BPNF DNA polymerase
VOG33960	5	5	XhXs	sp|A4ZCW5|VP2_ROTH3 Inner capsid protein VP2
VOG34031	2889	2716	XhXp	sp|Q6QGP7|ENLYS_BPT5 L-alanyl-D-glutamate peptidase
VOG34038	4	4	XhXr	sp|P03686|GP17_BPPH2 DNA replication protein 17
VOG34049	5	5	Xh	sp|P44501|DDH_HAEIN 2-hydroxyacid dehydrogenase homolog
VOG34053	2	2	XhXp	sp|A0A7H0DN12|PG039_MONPV Interferon antagonist OPG039
VOG34069	3	3	Xp	sp|P89884|ARBH_MHV68 Apoptosis regulator Bcl-2 homolog
VOG34123	2	2	Xr	sp|A0A1L4BKP6|TERS_BPG20 Terminase, small subunit
VOG34133	2	2	Xs	sp|Q9YK98|POL2_BRAV RNA2 polyprotein
VOG34144	363	362	Xh	sp|Q6FDK2|NAMPT_ACIAD Nicotinamide phosphoribosyltransferase
VOG34151	3	3	Xs	sp|P19272|COA3_TTV1K Coat protein TP3
VOG34213	128	127	XhXr	sp|P49633|RL40_ACACA Ubiquitin-ribosomal protein eL40 fusion protein
VOG34237	17	17	Xs	sp|Q76L39|POL2_BBWVS RNA2 polyprotein
VOG34271	2	2	XhXp	sp|A0A7H0DMZ9|PG023_MONPV Ankyrin repeat domain-containing protein OPG023
VOG34367	34	34	XhXr	sp|P30318|DPOL_NPVLD DNA polymerase
VOG34444	71	53	XhXpXr	sp|P0C6V6|R1A_PEDV7 Replicase polyprotein 1a
VOG34457	20	20	XhXp	sp|P04547|GSTB_BPT4 DNA beta-glucosyltransferase
VOG34477	5	4	XhXr	sp|P0C6V7|R1AB_BEV Replicase polyprotein 1ab
VOG34489	10	10	XhXpXrXs	sp|P08617|POLG_HAVHM Genome polyprotein
VOG34494	9	9	XhXpXrXs	sp|P03418|NCAP_HRSVA Nucleoprotein
VOG34501	4	4	XhXs	sp|P17379|P8_RDVO Outer capsid protein P8
VOG34570	4	4	XhXr	sp|P06949|GP1_BPPZA DNA replication protein 1
VOG34660	7	7	XpXs	sp|P05309|VP2_BTV17 Outer capsid protein VP2
VOG34674	10	10	XhXr	sp|P54634|POLG_LORDV Genome polyprotein
VOG34696	7	7	Xs	sp|Q7TDB5|CAPSD_MYRV9 Inner capsid protein VP2
VOG34704	9	9	Xs	sp|P85503|STRU3_BPPAJ Structural protein 3
VOG34728	18	16	XhXp	sp|O57261|IL1BP_VACCA Interleukin-1-binding protein
VOG34757	31	23	XhXp	sp|P17190|HBEAG_HPBDB External core antigen
VOG34818	26	16	XhXs	sp|P18349|US10_EHV4 Virion protein US10 homolog
VOG34825	4	4	Xh	sp|A0A5A4WIX0|IDH1_PSYS3 Isocitrate dehydrogenase [NADP] 1
VOG34904	11	11	Xr	sp|P71389|VPN_HAEIN Mu-like prophage FluMu DNA circularization protein
VOG34905	111	111	Xh	sp|P39418|Y00H_BPT4 Uncharacterized 9.5 kDa protein in dexA-dda intergenic region
VOG34926	21	21	XhXr	sp|P17312|TERL_BPT4 Terminase, large subunit
VOG34964	5	5	Xp	sp|P60505|U21_HHV7J U21 glycoprotein
VOG35003	6	6	Xh	sp|P23612|SYWC_RABIT Tryptophan--tRNA ligase, cytoplasmic
VOG35032	3	3	XpXs	sp|Q8V3U0|HEMA_ISAV8 Hemagglutinin-esterase
VOG35068	11	11	Xh	sp|Q9BZX2|UCK2_HUMAN Uridine-cytidine kinase 2
VOG35069	8	8	Xp	sp|F5HGJ3|ARBH_HHV8P Apoptosis regulator Bcl-2 homolog
VOG35074	2	2	Xs	sp|P19563|VIF_BIV29 Virion infectivity factor
VOG35079	22	22	Xh	sp|Q38477|GP6_BPMU Uncharacterized protein gp6
VOG35122	73	54	XhXpXr	sp|P0C6V6|R1A_PEDV7 Replicase polyprotein 1a
VOG35136	6	6	Xh	sp|Q5UPA2|YL023_MIMIV Putative ankyrin repeat protein L23
VOG35211	56	38	XhXs	sp|P24084|PG190_VACC0 Protein OPG190
VOG35224	5	5	XhXp	sp|A3EX96|NS3B_BCHK4 Non-structural protein 3b
VOG35283	20	20	Xh	sp|P20202|B251_SSV1 Uncharacterized protein B-251
VOG35286	40	40	Xh	sp|A0A7H0DN47|PG074_MONPV Protein OPG074
VOG35293	6	6	XhXpXrXs	sp|Q69422|POLG_GBVB Genome polyprotein
VOG35301	9	9	XrXs	sp|Q67684|ORF3_GRVMC Long-distance movement protein
VOG35308	3	3	Xs	sp|Q9YWQ2|VP10_BANNV Structural protein VP10
VOG35343	4	4	XhXs	sp|P68974|L2MU_ADECC Late L2 mu core protein
VOG35425	2	2	Xh	sp|A2BNV4|NDHI_PROMS NAD(P)H-quinone oxidoreductase subunit I
VOG35464	6	6	XhXpXs	sp|A4GBX7|HEMA_I77AA Hemagglutinin
VOG35475	7	7	Xh	sp|P26750|Y7K7_BPP22 Uncharacterized 7.7 kDa protein in gp5-gp4 intergenic region
VOG35488	1067	1015	XhXpXrXs	sp|P17767|POLG_PPVRA Genome polyprotein
VOG35506	8	8	XhXs	sp|O41054|P4_PBCV1 Minor capsid protein P4
VOG35544	98	98	Xs	sp|D3WAC9|TTTP_BPLP2 Probable tail terminator protein
VOG35557	3	2	Xh	sp|Q9LY87|RGLG2_ARATH E3 ubiquitin-protein ligase RGLG2
VOG35562	56	56	XhXpXrXs	sp|P14336|POLG_TBEVW Genome polyprotein
VOG35576	9	9	XhXr	sp|P54634|POLG_LORDV Genome polyprotein
VOG35608	6	6	Xr	sp|P06228|GP27_BPSP1 Gene 27 protein
VOG35615	5	4	Xh	sp|P18007|Y4048_ENTFA Uncharacterized protein EF_A0048
VOG35635	37	37	Xp	sp|P03702|GAM_LAMBD Host-nuclease inhibitor protein gam
VOG35661	22	22	Xs	sp|P03597|MVP_TOBSV Movement protein
VOG35689	4	4	Xp	sp|A0MZA0|GP8_BPN4 Gene product 8
VOG35704	55	52	XhXp	sp|P03256|E1A_ADE07 Early E1A protein
VOG35728	8	8	Xr	sp|P17161|HPF_KLEOX Ribosome hibernation promoting factor
VOG35738	40	40	Xh	sp|A0A7H0DN33|PG060_MONPV Protein OPG060
VOG35739	46	46	XhXrXs	sp|A0A7H0DNA3|RP19_MONPV DNA-directed RNA polymerase 19 kDa subunit
VOG35782	59	55	Xs	sp|P36351|CAPSD_PHMV Capsid protein
VOG35784	2	2	XhXpXs	sp|P0C9Z9|P54_ASFP4 Inner membrane protein p54
VOG35795	79	79	XpXrXs	sp|O48459|DIT_BPSPP Distal tail protein
VOG35811	7	7	Xh	sp|Q5UPX4|COLL8_MIMIV Putative collagenous domain-containing protein R238
VOG35844	112	111	XhXs	sp|P41705|PIF5_NPVAC Per os infectivity factor 5
VOG35859	31	22	XhXpXr	sp|P0C6U2|R1A_CVH22 Replicase polyprotein 1a
VOG35901	8	8	XhXp	sp|P14264|E1A_ADECT Early E1A protein
VOG35924	9	9	XhXpXs	sp|S6C8R9|DEPOL_BPK05 Probable tail spike protein
VOG35968	6	6	Xh	sp|A2YS06|ATG8C_ORYSI Autophagy-related protein 8C
VOG35973	28	28	Xh	sp|Q6Q1S0|VEMP_CVHNL Envelope small membrane protein
VOG35984	4	2	XhXp	sp|P16743|UL07_HCMVA CEACAM1-like protein UL7
VOG35997	4	4	Xh	sp|A6TMH9|PANB_ALKMQ 3-methyl-2-oxobutanoate hydroxymethyltransferase
VOG36013	114	112	Xh	sp|Q02TE1|Y807_PSEAB Putative prophage major tail sheath protein
VOG36037	3	3	Xh	sp|Q38490|GP13_BPMU Uncharacterized protein gp13
VOG36043	2	2	XpXs	sp|P08668|GP_HANTV Envelopment polyprotein
VOG36080	20	20	XpXs	sp|Q6X1D6|MATRX_ARAV Matrix protein
VOG36102	85	85	XhXr	sp|P03555|POL_CAMVC Enzymatic polyprotein
VOG36124	6	6	Xh	sp|P09331|ETA_STAAU Exfoliative toxin A
VOG36167	7	7	Xs	sp|Q5UNV0|YR692_MIMIV Uncharacterized protein R692
VOG36239	4	4	XhXp	sp|P04543|NS2_HRSVA Non-structural protein 2
VOG36242	46	46	XhXs	sp|A0A7H0DN41|PG068_MONPV Protein OPG068
VOG36273	7	7	Xp	sp|D4ZX34|T2AP_ARTPN Type II restriction enzyme AplI
VOG36274	11	7	XhXrXs	sp|P60170|VSGP_EBOZM Pre-small/secreted glycoprotein
VOG36304	4	4	Xh	sp|O64894|ACOX2_CUCMA Acyl-coenzyme A oxidase, peroxisomal
VOG36345	46	46	XhXpXs	sp|P68712|PG147_VACCW Virion membrane protein OPG147
VOG36394	2	2	Xs	sp|P52549|GO_HHV6Z 130 kDa Glycoprotein O
VOG36427	3	3	Xs	sp|B3VML2|MVP_OUMVV Putative movement protein
VOG36435	29	29	XhXpXs	sp|P05674|POLS_EEVV8 Structural polyprotein
VOG36438	344	343	Xr	sp|P13342|HLOAD_BPT4 DNA helicase assembly protein
VOG36455	20	13	XhXp	sp|Q0GNN1|KBTB2_HSPV Kelch repeat and BTB domain-containing protein 2
VOG36463	322	322	XhXpXrXs	sp|P0DXX7|TIPJ_BPS27 Tip attachment protein J
VOG36487	2	2	Xh	sp|Q5DRK1|ENTP8_RAT Ectonucleoside triphosphate diphosphohydrolase 8
VOG36493	10	10	Xh	sp|P0DP90|ILVG_ECOLI Acetolactate synthase isozyme 2 large subunit
VOG36540	18	18	Xr	sp|P03709|FI_LAMBD DNA-packaging protein FI
VOG36587	4	4	Xh	sp|O70325|GPX4_MOUSE Phospholipid hydroperoxide glutathione peroxidase GPX4
VOG36624	6	6	XhXpXr	sp|P0CK83|PAX_I80A6 Protein PA-X
VOG36628	2	2	Xp	sp|F5H8R0|U147A_HCMVM Uncharacterized protein UL147A
VOG36640	7	7	XhXpXs	sp|Q9WFX3|HEMA_I18A0 Hemagglutinin
VOG36662	90	59	XhXs	sp|A0A7H0DND3|PG162_MONPV Protein OPG162
VOG36666	135	135	Xp	sp|P39232|DMD_BPT4 Antitoxin Dmd
VOG36719	2	2	Xh	sp|P14608|CTX_PSEAI Cytotoxin
VOG36722	9	9	Xh	sp|Q5UQK3|YR405_MIMIV Putative RNA methyltransferase R405
VOG36754	16	16	XhXrXs	sp|B2BNE0|RDRP_AQRVG RNA-directed RNA polymerase VP2
VOG36758	25	25	XhXpXrXs	sp|Q9QL88|POLG_CXB6S Genome polyprotein
VOG36800	7	7	XpXr	sp|P68830|B2_BBV Protein B2
VOG36826	2	2	Xh	sp|Q3V4V4|Y330_ATV Putative acetyltransferase ORF330
VOG36832	10	10	Xh	sp|Q5UPK7|YL128_MIMIV Putative GMC-type oxidoreductase L128
VOG36894	25	25	XhXs	sp|P07613|PG096_VACCW Protein OPG096
VOG36896	3	2	Xh	sp|O48396|GP40_BPSP1 Gene 40 protein
VOG36932	605	575	XhXs	sp|Q5UQ13|COLL2_MIMIV Collagen-like protein 2
VOG36969	22	22	XhXpXr	sp|A6YQT5|RPOA_PRRSV Replicase polyprotein 1ab
VOG36983	22	22	XhXpXrXs	sp|P27380|EXLYS_BPPRD Transglycosylase
VOG36996	27	27	XhXpXrXs	sp|Q01076|GP20_BPP22 Internal virion protein gp20
VOG37005	2	2	Xh	sp|P17638|VP19_BPPRD Protein P19
VOG37011	50	50	Xh	sp|B7KAE8|PLAS_GLOC7 Plastocyanin
VOG37040	30	30	Xh	sp|O31789|YMAC_BACSU UPF0714 protein YmaC
VOG37080	12	12	Xh	sp|P23992|TOPS_BPT4 DNA topoisomerase small subunit
VOG37086	24	24	XhXr	sp|Q98500|TPASE_PBCV1 5'RNA triphosphatase A449R
VOG37100	119	119	XpXrXs	sp|P36272|PORTL_BPP21 Portal protein B
VOG37106	21	18	Xh	sp|Q77MS9|VLIP_GAHVM Virulence factor MDV010
VOG37123	23	22	Xs	sp|A0A1P8YT88|CAPSD_AHEBV Capsid protein
VOG37136	45	45	Xr	sp|Q9J3N6|HEPA_VZVO DNA helicase/primase complex-associated protein
VOG37141	2	2	Xh	sp|K7WRE1|TIL_BOMTE Chymotrypsin inhibitor
VOG37168	298	298	XhXr	sp|P0AEF0|DNAC_ECOLI Replicative helicase loader DnaC
VOG37186	881	881	XhXr	sp|P07393|RDRP_BPGA RNA-directed RNA polymerase beta chain
VOG37239	12	8	Xh	sp|Q5UPF1|YL072_MIMIV Putative ankyrin repeat protein L72
VOG37244	6	6	Xh	sp|A4XIX0|HSLU_CALS8 ATP-dependent protease ATPase subunit HslU
VOG37269	24	24	XhXpXrXs	sp|Q8JV21|POLG_LJUV1 Genome polyprotein
VOG37313	3	3	XhXpXs	sp|P07566|POLS_RUBVT Structural polyprotein
VOG37317	3	3	XhXpXs	sp|P03332|GAG_MLVMS Gag polyprotein
VOG37359	361	360	XpXs	sp|P15076|DNAPR_BPT4 Terminal DNA protecting protein
VOG37368	2	2	XhXs	sp|P0CAL4|VF84_ASFK5 Transmembrane protein EP84R
VOG37382	3	3	Xh	sp|Q12375|ORT1_YEAST Mitochondrial ornithine transporter 1
VOG37408	98	98	Xh	sp|Q09YD1|GP38_BPLP0 Gene product 38
VOG37418	7	7	XhXpXrXs	sp|Q67825|POLG_HAVGB Genome polyprotein
VOG37434	17	17	Xs	sp|P03638|SCAFD_BPG4 External scaffolding protein D
VOG37438	24	18	XhXpXr	sp|P0C6T7|R1A_BCRP3 Replicase polyprotein 1a
VOG37459	3	3	XhXr	sp|P30320|DPOL_PBCVN DNA polymerase
VOG37466	17	17	XhXs	sp|Q5UQB5|TOP1P_MIMIV DNA topoisomerase 1 type prokaryotic
VOG37489	2	2	XpXs	sp|Q37972|G3P_BPPHL Attachment protein G3P
VOG37496	2	2	XhXs	sp|P0C9Z5|P49_ASFWA Minor capsid protein p49
VOG37498	3	3	XhXrXs	sp|Q01206|POL1_BAYMJ Genome polyprotein 1
VOG37505	21	21	Xh	sp|O10276|VE26_NPVOP Putative early 21.8 kDa protein
VOG37518	33	30	XhXpXr	sp|P27282|POLN_EEVVT Polyprotein P1234
VOG37554	25	25	Xh	sp|P03207|BRRF1_EBVB9 Transcriptional activator BRRF1
VOG37572	63	62	Xs	sp|P41701|E18_NPVAC Protein E18
VOG37574	85	85	XhXp	sp|F8WQ30|HMUDK_BPS10 5-hmdU DNA kinase
VOG37604	21	21	XhXpXrXs	sp|Q96662|POLG_BVDVC Genome polyprotein
VOG37608	13	11	XhXr	sp|Q83044|R1A_LIYV9 Replicase polyprotein 1a
VOG37639	4	4	Xh	sp|Q46669|CDTB_ECOLX Cytolethal distending toxin subunit B
VOG37643	14	14	Xh	sp|A0A7H0DND8|PG170_MONPV Protein OPG170
VOG37660	117	117	XhXpXs	sp|P23207|RBP5_BPT5 Receptor-binding protein pb5
VOG37675	2	2	XhXs	sp|P25477|CAPSD_BPP2 Capsid proteins
VOG37719	6	6	Xs	sp|P13026|POL2_GCMV RNA2 polyprotein
VOG37732	4	3	Xh	sp|O32294|RAPG_BACSU Regulatory protein RapG
VOG37775	5	5	Xs	sp|Q86993|COAT_SPMV Coat protein
VOG37778	6	6	XhXpXs	sp|A0MD30|GP2A_PRRSS Glycoprotein 2a
VOG37790	2	2	XhXr	sp|P25479|VPP_BPP2 Terminase, ATPase subunit
VOG37806	65	64	Xh	sp|P55020|PLAS_SYNE7 Plastocyanin
VOG37816	20	18	XhXs	sp|A0MD31|E_PRRSS Envelope small membrane protein
VOG37845	2	2	Xs	sp|P03545|MVP_CAMVS Movement protein
VOG37852	6	6	Xh	sp|Q5URB9|YR840_MIMIV Putative ankyrin repeat protein R840
VOG37856	41	41	XhXpXr	sp|Q9IJX4|POLN_CRPVC Replicase polyprotein
VOG37877	2	2	XhXr	sp|P0C6V7|R1AB_BEV Replicase polyprotein 1ab
VOG37918	92	92	Xr	sp|Q74LQ9|NTD_LACJO Nucleoside deoxyribosyltransferase
VOG37927	41	40	Xh	sp|P07839|FER_CHLRE Ferredoxin, chloroplastic
VOG37943	45	45	Xp	sp|P0DW57|TAD1_BPPSB Thoeris anti-defense 1
VOG37981	17	10	Xs	sp|Q5UR09|YR648_MIMIV Uncharacterized protein R648
VOG37995	4	4	Xh	sp|Q5UNT1|YL673_MIMIV Putative serine/threonine-protein kinase L673
VOG38025	750	749	XhXs	sp|Q38442|GP7_BPSPP Minor head protein GP7
VOG38029	18	18	Xh	sp|P44662|Y361_HAEIN Probable iron transport system ATP-binding protein HI_0361
VOG38089	9	9	Xh	sp|Q9MA74|SDC1_ARATH Serine decarboxylase
VOG38119	66	66	Xs	sp|M1KJ27|PG129_MONPV Major core protein OPG129
VOG38136	13	13	Xh	sp|Q5UPT0|LONH_MIMIV Lon protease homolog
VOG38141	232	125	XhXp	sp|P41437|IAP3_NPVOP E3 ubiquitin-protein ligase IAP-3
VOG38169	91	91	Xh	sp|P24652|Y102_NPVOP Uncharacterized 12.2 kDa protein in P6.5-VP48 intergenic region
VOG38190	5	5	Xh	sp|Q9J5G3|V040_FOWPN Uncharacterized serpin-like protein FPV040
VOG38213	2	2	Xh	sp|O31975|YOMJ_BACSU SPbeta prophage-derived uncharacterized membrane protein YomJ
VOG38226	4	4	Xh	sp|P47815|IF1A_WHEAT Eukaryotic translation initiation factor 1A
VOG38228	9	9	Xh	sp|P05327|PHR_SYNP6 Deoxyribodipyrimidine photo-lyase
VOG38229	40	40	XhXs	sp|Q98459|P9_PBCV1 Minor capsid protein P9
VOG38230	76	76	XhXs	sp|Q65328|SPLR_NPVOP Spheroidin-like protein
VOG38238	7	7	Xh	sp|Q5UPQ9|YL769_MIMIV Putative ankyrin repeat protein L769
VOG38243	137	137	XhXs	sp|Q6QGE8|DIT_BPT5 Distal tail protein pb9
VOG38266	5	5	XpXs	sp|A0A068Q5Q5|DEPOL_BPKNT Depolymerase, capsule K1-specific
VOG38277	15	2	Xh	sp|B3LWU3|SUR8_DROAN Leucine-rich repeat protein soc-2 homolog
VOG38333	180	141	XhXpXs	sp|A0A7H0DN78|DUSP_MONPV Dual specificity protein phosphatase OPG106
VOG38343	9	9	XhXs	sp|A0A7H0DN32|PG059_MONPV Protein OPG059
VOG38359	5	3	Xh	sp|P0C9A8|VF509_ASFP4 Putative ATP-dependent RNA helicase QP509L
VOG38362	113	111	XhXs	sp|P10312|BPD_BPP2 Probable baseplate hub protein
VOG38374	10	10	Xh	sp|Q5UNT8|YL678_MIMIV Putative SET domain-containing protein L678
VOG38380	9	9	XpXrXs	sp|O42050|M21_HRSVB Protein M2-1
VOG38420	2	2	XpXrXs	sp|E1XTG9|TSP_BPSAV Tail sheath protein
VOG38427	2	2	XhXrXs	sp|Q83034|POLG_RTSVA Genome polyprotein
VOG38441	44	44	Xh	sp|P08586|PG112_VACCW Late protein OPG112
VOG38457	22	22	Xh	sp|P03778|Y06_BPT7 Protein 0.6B
VOG38478	16	16	Xs	sp|C1JJY3|ENV_HAPV1 Envelope protein
VOG38485	9	9	Xh	sp|Q5UQV3|YL371_MIMIV Putative ankyrin repeat protein L371
VOG38489	14	14	Xh	sp|Q6G7Z2|SCIN_STAAS Staphylococcal complement inhibitor
VOG38506	7	7	Xh	sp|B9MPS5|QUEF_CALBD NADPH-dependent 7-cyano-7-deazaguanine reductase
VOG38517	25	25	Xs	sp|P52437|ITP_HHV6U Inner tegument protein
VOG38563	4	4	XpXs	sp|O09496|FIBER_BPK5 Tail spike protein
VOG38574	6	6	Xh	sp|A0R7G6|INO1_MYCS2 Inositol-3-phosphate synthase
VOG38583	3	3	Xh	sp|O86308|RPF_MICLU Resuscitation-promoting factor Rpf
VOG38618	47	47	Xh	sp|Q56957|AIL_YERPS Attachment invasion locus protein
VOG38633	9	9	Xs	sp|Q5UQX0|YR383_MIMIV Uncharacterized protein R383
VOG38661	66	62	XhXrXs	sp|P07617|MCE_VACCW Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
VOG38668	2	2	XhXs	sp|P68974|L2MU_ADECC Late L2 mu core protein
VOG38679	27	26	Xh	sp|P34205|PHR_CARAU Deoxyribodipyrimidine photo-lyase
VOG38707	3	3	XpXrXs	sp|P27389|VP18_BPPRD Protein P18
